game_name,review_text,sentiment,source,app_id,voted_up,timestamp_created,playtime_forever,language,votes_up,weighted_vote_score,steam_purchase,received_for_free,written_during_early_access
Counter-Strike 2,залупа,positive,steam_live,730,True,1778960353,4888,russian,0,0.5,True,False,False
Counter-Strike 2,".hjgnkömn
,",positive,steam_live,730,True,1778960348,30987,turkish,0,0.5,True,False,False
Counter-Strike 2,Говно 2 очень хороший шутер особенно для тех кто любит мужчин.,positive,steam_live,730,True,1778960176,1608,russian,0,0.5,True,False,False
Counter-Strike 2,yes,positive,steam_live,730,True,1778960171,984,english,0,0.5,True,False,False
Counter-Strike 2,good,positive,steam_live,730,True,1778960139,7337,swedish,0,0.5,True,False,False
Counter-Strike 2,щкууууууууууууууууууу,positive,steam_live,730,True,1778960125,18329,russian,0,0.5,True,False,False
Counter-Strike 2,Nice to play with your friends...  the way  how to become enemy...,positive,steam_live,730,True,1778960087,3640,english,0,0.5,True,False,False
Counter-Strike 2,"Fast, tense, and weirdly addictive. It’s the only game where walking slowly feels like genius strategy and missing every shot is clearly just “team support.” Fast, tense, and endlessly fun. 10/10 - would get flashed by my own teammate again",positive,steam_live,730,True,1778960052,156986,english,0,0.5,True,False,False
Counter-Strike 2,ВНКЕЕ,positive,steam_live,730,True,1778960038,1964,russian,0,0.5,True,False,False
Counter-Strike 2,GAME GOOD BUT BAD PLAYERS,negative,steam_live,730,False,1778960000,40096,polish,0,0.5,True,False,False
Counter-Strike 2,топ топ топ оооооооооооооооооооооооооооооооо,positive,steam_live,730,True,1778959936,7181,russian,0,0.5,True,False,False
Counter-Strike 2,дрисня от вольво во-первых баганое во-вторых ♥♥♥♥♥ собачая с читаками,negative,steam_live,730,False,1778959929,8563,ukrainian,0,0.5,True,False,False
Counter-Strike 2,spoko gra,positive,steam_live,730,True,1778959905,6341,polish,0,0.5,True,False,False
Counter-Strike 2,...,positive,steam_live,730,True,1778959868,10233,russian,0,0.5,True,False,False
Counter-Strike 2,You'll find less cheaters on Tinder,negative,steam_live,730,False,1778959835,6657,german,0,0.5,True,False,False
Counter-Strike 2,JEBAN E GÓWNO JEBAC DASTA 2,negative,steam_live,730,False,1778959811,71113,polish,0,0.5,True,False,False
Counter-Strike 2,TA,positive,steam_live,730,True,1778959811,442,polish,0,0.5,True,False,False
Counter-Strike 2,skatopaixnido,positive,steam_live,730,True,1778959802,328,english,0,0.5,True,False,False
Counter-Strike 2,top game for the top g's,positive,steam_live,730,True,1778959777,16163,english,0,0.5,True,False,False
Counter-Strike 2,Нерегает ничуя советую,positive,steam_live,730,True,1778959768,15128,russian,0,0.5,True,False,False
Counter-Strike 2,"CS2 has become one of the worst examples of corruption and neglect in competitive gaming. The game is completely infested with cheaters using hacks, wallhacks, aimbots, and every kind of blatant cheat imaginable, while VALVE and STEAM keep looking the other way.

It is impossible to believe that after so many years and millions of dollars earned, they are still unable to clean up the game. The reality seems very different: they do not want to do it because keeping those accounts active is profitable for them. As long as cheaters continue buying skins, trading items, and generating money through STEAM, nothing serious will ever be done against them.

Corruption has reached even the gaming industry. Legitimate players report cheaters for months or years, yet those same accounts remain active ruining matches every single day. VALVE and STEAM seem to side with hackers and cheaters instead of protecting honest players who only want a fair experience.

CS2 no longer rewards skill; it rewards whoever uses better hacks and is less afraid of getting banned. The anti-cheat system is a complete joke, and the competitive community has been destroyed.

After thousands of hours, I have decided to permanently quit this game. I will not continue supporting a platform that allows this level of garbage and negligence while they keep getting richer at the expense of normal players.

CS2 is dead for anyone who still believes in fair play.",negative,steam_live,730,False,1778959745,38758,english,0,0.5,True,False,False
Counter-Strike 2,ee,positive,steam_live,730,True,1778959725,2888,polish,0,0.5,True,False,False
Counter-Strike 2,paulin,positive,steam_live,730,True,1778959689,1878,polish,0,0.5,True,False,False
Counter-Strike 2,ну там стреляешь и круто,positive,steam_live,730,True,1778959639,2087,russian,1,0.523809552192687988,True,False,False
Counter-Strike 2,крутень,positive,steam_live,730,True,1778959623,1613,russian,0,0.5,True,False,False
Counter-Strike 2,0/10 game would definitely reccomend,positive,steam_live,730,True,1778959535,33230,english,0,0.5,True,False,False
Counter-Strike 2,кайф,positive,steam_live,730,True,1778959525,87933,russian,0,0.5,True,False,False
Counter-Strike 2,Aprendí un poco de brasilero gracias a este juego. 10/10,positive,steam_live,730,True,1778959524,31822,spanish,0,0.5,True,False,False
Counter-Strike 2,Исправили много багов,positive,steam_live,730,True,1778959513,499,russian,0,0.5,True,False,False
Counter-Strike 2,game is very fun,positive,steam_live,730,True,1778959510,1684,english,0,0.5,True,False,False
Counter-Strike 2,одни читеры,negative,steam_live,730,False,1778959405,4799,russian,0,0.5,True,False,False
Counter-Strike 2,топ игра,positive,steam_live,730,True,1778959404,7322,russian,0,0.5,True,False,False
Counter-Strike 2,so good,positive,steam_live,730,True,1778959401,9584,danish,0,0.5,True,False,False
Counter-Strike 2,читеров многа,positive,steam_live,730,True,1778959370,70302,russian,0,0.5,True,False,False
Counter-Strike 2,You'll find less cheaters on Tinder,negative,steam_live,730,False,1778959354,8085,english,1,0.5,True,False,False
Counter-Strike 2,waw,positive,steam_live,730,True,1778959180,47794,english,0,0.5,True,False,False
Counter-Strike 2,888,positive,steam_live,730,True,1778959111,53335,turkish,0,0.5,True,False,False
Counter-Strike 2,(,negative,steam_live,730,False,1778959088,42559,russian,0,0.5,True,False,False
Counter-Strike 2,best game ever,positive,steam_live,730,True,1778959024,20184,english,1,0.523809552192687988,True,False,False
Counter-Strike 2,a,positive,steam_live,730,True,1778959018,18873,turkish,0,0.5,True,False,False
Counter-Strike 2,круто,positive,steam_live,730,True,1778958933,9562,russian,0,0.5,True,False,False
