game_name,review_text,sentiment,source,app_id,voted_up,timestamp_created,playtime_forever,language,votes_up,weighted_vote_score,steam_purchase,received_for_free,written_during_early_access
Dying Light,"Rapaz, se eu fosse definir esse jogo com uma palavra só, seria baguioloko, jogo top caraca, recomendo comprar ele, vale realmente apena, sem contar com as inumeras armas que tem no game, top de verdade mermão, compraa!",positive,steam_live,239140,True,1778718453,1871,brazilian,0,0.5,True,False,False
Dying Light,да,positive,steam_live,239140,True,1778718268,994,russian,0,0.5,True,False,False
Dying Light,isso e harran : bicuda no zumbi,positive,steam_live,239140,True,1778717044,2443,brazilian,0,0.5,True,False,False
Dying Light,polecam 10/10,positive,steam_live,239140,True,1778716178,3420,polish,0,0.5,True,False,False
Dying Light,For how old this game is it's excellent. Strongly recommend this title if you're looking for a zombie open world rpg.,positive,steam_live,239140,True,1778714084,2848,english,0,0.5,True,False,False
Dying Light,dehşetülvahşet oyun,positive,steam_live,239140,True,1778713593,2406,turkish,0,0.5,True,False,False
Dying Light,aga akışkanlar mekaniğinden sonra oynanacak en iyi oyun zombilerden hıncımı çıkarıyorum zevkli oynayın oynattırın,positive,steam_live,239140,True,1778713466,3591,turkish,0,0.5,True,False,False
Dying Light,jogaço da porra,positive,steam_live,239140,True,1778713256,1664,brazilian,0,0.5,True,False,False
Dying Light,"não é um jogo difícil, quando voce está com vida nas armas... Rodou bem :)",positive,steam_live,239140,True,1778712810,598,brazilian,0,0.5,True,False,False
Dying Light,"After completing all side quests & the entire main questline, I can confirm Dying Light is one of the best zombie games out there. It offers horror, but not too much, has a great map (or 2 maps I should say). Lots of fun side quests that really immerse you in the horrors of Harran. Additionally, this game ran at 60 fps on my ♥♥♥♥ of a laptop which was great considering other games run at 5 fps. 10/10, would play again and will be buying Dying Light: The Following as soon as summer sale comes.",positive,steam_live,239140,True,1778711460,5362,english,0,0.5,True,False,False
Dying Light,papapa INCRRR,positive,steam_live,239140,True,1778708214,2195,french,0,0.5,True,False,False
Dying Light,el mejor juegos de zombies y parkour del mundo,positive,steam_live,239140,True,1778706202,1254,spanish,0,0.5,True,False,False
Dying Light,.,positive,steam_live,239140,True,1778698253,1174,russian,0,0.5,True,False,False
Dying Light,peak because you can dropkick children,positive,steam_live,239140,True,1778697745,2933,english,0,0.5,True,False,False
Dying Light,anlatmaya gerek yok,positive,steam_live,239140,True,1778695560,2775,turkish,0,0.5,True,False,False
Dying Light,bom,positive,steam_live,239140,True,1778693573,1283,brazilian,0,0.5,True,False,False
Dying Light,"Игра крутая для 2015 года, механика паркура и сюжет немного хромает, но геймплей имба. Советую всем особенно с друзьями, так еще и по скидки в 90%)))",positive,steam_live,239140,True,1778693372,937,russian,0,0.5,True,False,False
Dying Light,this game made me instantly bust upon seeing a goon. 10/10 would recommend,positive,steam_live,239140,True,1778693369,1041,english,0,0.5,True,False,False
Dying Light,"“It was perfect. Perfect. Everything. Down to the last minute details.""

zombies plus parkour literally perfection",positive,steam_live,239140,True,1778692418,3419,english,0,0.5,True,False,False
Dying Light,Jogo Top!,positive,steam_live,239140,True,1778691111,971,brazilian,0,0.5,True,False,False
Dying Light,güzel,positive,steam_live,239140,True,1778690379,5914,turkish,0,0.5,True,False,False
Dying Light,increible,positive,steam_live,239140,True,1778688579,1225,latam,0,0.5,True,False,False
Dying Light,кайф,positive,steam_live,239140,True,1778683457,1268,russian,0,0.5,True,False,False
Dying Light,fun game!,positive,steam_live,239140,True,1778683169,7201,swedish,0,0.5,True,False,False
Dying Light,"⠄⠄⠄⠄⢠⣿⣿⣿⣿⣿⢻⣿⣿⣿⣿⣿⣿⣿⣿⣯⢻⣿⣿⣿⣿⣆⠄⠄⠄
⠄⠄⣼⢀⣿⣿⣿⣿⣏⡏⠄⠹⣿⣿⣿⣿⣿⣿⣿⣿⣧⢻⣿⣿⣿⣿⡆⠄⠄
⠄⠄⡟⣼⣿⣿⣿⣿⣿⠄⠄⠄⠈⠻⣿⣿⣿⣿⣿⣿⣿⣇⢻⣿⣿⣿⣿⠄⠄
⠄⢰⠃⣿⣿⠿⣿⣿⣿⠄⠄⠄⠄⠄⠄⠙⠿⣿⣿⣿⣿⣿⠄⢿⣿⣿⣿⡄⠄
⠄⢸⢠⣿⣿⣧⡙⣿⣿⡆⠄⠄⠄⠄⠄⠄⠄⠈⠛⢿⣿⣿⡇⠸⣿⡿⣸⡇⠄
⠄⠈⡆⣿⣿⣿⣿⣦⡙⠳⠄⠄⠄⠄⠄⠄⢀⣠⣤⣀⣈⠙⠃⠄⠿⢇⣿⡇⠄
⠄⠄⡇⢿⣿⣿⣿⣿⡇⠄⠄⠄⠄⠄⣠⣶⣿⣿⣿⣿⣿⣿⣷⣆⡀⣼⣿⡇⠄
⠄⠄⢹⡘⣿⣿⣿⢿⣷⡀⠄⢀⣴⣾⣟⠉⠉⠉⠉⣽⣿⣿⣿⣿⠇⢹⣿⠃⠄
⠄⠄⠄⢷⡘⢿⣿⣎⢻⣷⠰⣿⣿⣿⣿⣦⣀⣀⣴⣿⣿⣿⠟⢫⡾⢸⡟⠄.
⠄⠄⠄⠄⠻⣦⡙⠿⣧⠙⢷⠙⠻⠿⢿⡿⠿⠿⠛⠋⠉⠄⠂⠘⠁⠞⠄⠄⠄
⠄⠄⠄⠄⠄⠈⠙⠑⣠⣤⣴⡖⠄⠿⣋⣉⣉⡁⠄⢾⣦⠄⠄⠄⠄⠄⠄⠄⠄
melhor jogo que eu joguei, valeu cada sentavo, em ambas plataformas, otimo jogo pra aprender a jogar no teclado tambem, a historia sempre me faz arrepiar, jogo estressa as vezes no modo hard, então se quiser jogar pela historia recomendo mesmo modo normal ou menos.",positive,steam_live,239140,True,1778683001,2053,brazilian,0,0.5,True,False,False
Dying Light,"Прикольная игра с очень крутым паркуром. Неплохой сюжет, атмосфера прекрасная. Как коротенькая сюжетка на 15 часов пойдет очень даже",positive,steam_live,239140,True,1778680978,989,russian,0,0.5,True,False,False
Dying Light,GOTY,positive,steam_live,239140,True,1778678092,1565,latam,0,0.5,True,False,False
Dying Light,Harika,positive,steam_live,239140,True,1778676865,814,turkish,0,0.5,True,False,False
